,name,album,artist,release date,length,popularity,lyrics
0,(What A) Wonderful World,The Man Who Invented Soul,Sam Cooke,2000-09-26,125440,69,"

[Verse 1]
Don't know much about history
Don't know much biology
Don't know much about a science book
Don't know much about the French I took

[Chorus 1]
But I do know that I love you
And I know that if you love me, too
What a wonderful world this would be

[Verse 2]
Don't know much about geography
Don't know much trigonometry
Don't know much about algebra
Don't know what a slide rule is for

[Chorus 2]
But I do know one and one is two
And if this one could be with you
What a wonderful world this would be

[Bridge]
Now, I don't claim to be an A student
But I'm trying to be
For maybe by being an A student, baby
I can win your love for me

[Verse 1]
Don't know much about history
Don't know much biology
Don't know much about a science book
Don't know much about the French I took

[Chorus 1]
But I do know that I love you
And I know that if you love me, too
What a wonderful world this would be

[Verse 3]
La ta ta ta ta ta ta (History)
Hmm-mm-mm (Biology)
Whoa, la ta ta ta ta ta ta (Science book)
Hmm-mm-mm (French I took)

[Chorus 1]
Yeah, but I do know that I love you
And I know that if you love me, too
What a wonderful world this would be

"
1,Brown Eyed Girl,Blowin' Your Mind!,Van Morrison,1967-09,183306,78,"

[Verse 1]
Hey, where did we go?
Days when the rains came
Down in the hollow
Playin' a new game
Laughing and a running, hey, hey
Skipping and a jumping
In the misty morning fog with
Our hearts a thumpin' and you
My brown-eyed girl
You, my brown-eyed girl

[Verse 2]
Whatever happened
To Tuesday and so slow?
Going down the old mine
With a transistor radio
Standing in the sunlight laughing
Hiding behind a rainbow's wall
Slipping and sliding
All along the waterfall, with you
My brown-eyed girl
You, my brown-eyed girl

[Chorus]
Do you remember when we used to sing
Sha la la la la la la la la la la te da
Just like that
Sha la la la la la la la la la la te da la te da

[Verse 3]
So hard to find my way
Now that I'm all on my own
I saw you just the other day
My, how you have grown
Cast my memory back there, Lord
Sometimes I'm overcome thinking 'bout
Making love in the green grass
Behind the stadium with you
My brown-eyed girl
You, my brown-eyed girl

[Chorus]
Do you remember when we used to sing
Sha la la la la la la la la la la te da
Sha la la la la la la la la la la te da la te da
Sha la la la la la la la la la la te da la te da

"
2,I Say a Little Prayer,Respect - The Very Best of,Aretha Franklin,2017-03-25,216773,60,"

[Verse 1]
(I say a little prayer for you)
The moment I wake up
Before I put on my makeup (Makeup)
I say a little (Prayer for you)
And while I'm combing my hair now
And wondering what dress to wear now (Wear now)
I say a little (Prayer for you)

[Chorus]
(Forever) Forever, (And ever) yeah
(You'll stay in my heart and I will love you)
(Forever) Forever, (And ever) ever
(We never will part, oh, how I love you)
(Together) Together, (Together) together
(That's how it must be to live without you)
(Would only mean heartbreak for me)

[Verse 2]
I run for the bus, dear
But while riding I think of us, dear (Us, dear)
I say a little (Prayer for you)
And at work I just take time
And all through my coffee break time (Break time)
I say a little (Prayer for you)

[Chorus]
(Forever) Forever, (And ever) and ever
(You'll stay in my heart and I will love you)
(Forever) Forever, (And ever) and ever
(We never will part, oh, how I love you)
(Together) Together, (Together) together
(That's how it must be to live without you)
(Would only mean heartbreak for me)
Nobody but me

[Chorus]
(Forever) Forever, (and ever) ever
(You'll stay in my heart and I will love you)
(Forever) Forever, (and ever) ever
(We never will part, oh, how I love you)
(Together) Together, (together) together
(That's how it must be to live without you)
(Would only mean heartbreak for me)

[Bridge]
My darling, believe me (Believe me)
For me, there is no one but you
Please love me true
I'm in love with you (Answer my prayer)
Answer my prayer, baby (Answer my prayer)
Say you'll love me true (Answer my prayer)
Answer my prayer, baby (Answer my prayer)

[Chorus]
(Forever) Forever, (And ever) ever
(You'll stay in my heart and I will love you) Ever
(Forever) Forever, (And ever) ever
(We never will part, oh, how I love you)
(Together) Together, (Together) together
(That's how it must be to live without you)
(Would only mean heartbreak for me)
Oh, nobody but me

[Bridge]
My darling, believe me (Believe me)
For me, there is no one but you
Please love me true

[Outro]
This is my prayer (Answer my prayer, baby)
Answer my prayer now, baby (Answer my prayer, baby)
This is my prayer (Answer my prayer, baby)
Answer it right now, baby (Answer my prayer, baby)
Say you'll love me true (Answer my prayer, baby)
This is my prayer, baby (Answer my prayer, baby)
I'm in love with you (Answer my prayer)

"
3,Stand By Me,Stand By Me,Ben E. King,2016-11-25,174253,60,"

[Intro]

[Verse 1]
When the night has come
And the land is dark
And the moon is the only light we'll see
No, I won't be afraid
Oh, I won't be afraid
Just as long as you stand, stand by me

[Chorus]
So darlin', darlin', stand by me
Oh, stand by me
Oh, stand
Stand by me, stand by me

[Verse 2]
If the sky that we look upon
Should tumble and fall
Or the mountains should crumble to the sea
I won't cry, I won't cry
No, I won't shed a tear
Just as long as you stand, stand by me

[Chorus]
And darlin', darlin', stand by me
Oh, stand by me
Woah, stand now
Stand by me, stand by me

[Interlude]

[Chorus]
Darlin', darlin', stand by me
Oh, stand by me
Oh, stand now
Stand by me, stand by me

Whenever you're in trouble won't you stand by me
Oh, stand by me
Woah, just stand now
Oh, stand, stand by me

"
4,Ain't No Mountain High Enough,United,Marvin Gaye,1967-08-29,151666,0,"

[Verse 1: Marvin Gaye]
Listen, baby
Ain't no mountain high
Ain't no valley low
Ain't no river wide enough, baby

[Tammi Terrell]
If you need me, call me
No matter where you are
No matter how far (Don't worry, baby)
Just call my name
I'll be there in a hurry
You don't have to worry
Cause baby there

[Chorus: Marvin Gaye & Tammi Terrell]
Ain't no mountain high enough
Ain't no valley low enough
Ain't no river wide enough
To keep me from getting to you, babe

[Verse 2: Marvin Gaye]
Remember the day
I set you free
I told you you could always count on me, darling
From that day on, I made a vow
I'll be there when you want me
Someway, somehow
Oh baby there

[Chorus: Marvin Gaye & Tammi Terrell]
Ain't no mountain high enough
Ain't no valley low enough
Ain't no river wide enough
To keep me from getting to you, babe

[Bridge: Marvin Gaye]
Oh no, darling

[Tammi Terrell]
No wind, no rain
Nor winter storm
Can't stop me, baby

[Marvin Gaye]
No, no baby

[Tammi Terrell]
Cause you are my goal

[Marvin Gaye]
If you're ever in trouble
I'll be there on the double
Just send for me

[Marvin Gaye & Tammi Terrell]
Oh, baby!

[Verse 3]
My love is alive
Way down in my heart
Although we are miles apart

[Marvin Gaye]
If you ever need a helping hand
I'll be there on the double
Just as fast as I can

[Chorus: Marvin Gaye & Tammi Terrell]
Don't you know that there...
Ain't no mountain high enough
Ain't no valley low enough
Ain't no river wide enough
To keep me from getting to you, baby
Ain't no mountain high enough
Ain't no valley low enough
Ain't no river wide enough
Ain't no mountain high enough
Ain't no valley low enough

"
5,Surfin' U.S.A. - Remastered 2001,Surfin' USA (Remastered),The Beach Boys,1963-03-25,149373,72,"

If everybody had an ocean
Across the USA
Then everybody'd be surfin'
Like Californ-i-a

You'd see 'em wearing their baggies
Huarache sandals too
A bushy, bushy blonde hairdo
Surfin' USA

You'll catch 'em surfin' at Del Mar (Inside, outside, USA)
Ventura County line (Inside, outside, USA)
Santa Cruz and Trestle (Inside, outside, USA)
Australia's Narrabeen (Inside, outside, USA)
All over Manhattan (Inside, outside, USA)
And down Doheny Way (Inside, outside, USA)
Everybody's gone surfin'
Surfin' USA

We'll all be planning out a route
We're gonna take real soon
We're waxin' down our surfboards
We can't wait for June

We'll all be gone for the summer
We're on safari to stay
Tell the teacher we're surfin'
Surfin' USA

At Haggerty's and Swami's (Inside, outside, USA)
Pacific Palisades (Inside, outside, USA)
San Onofre and Sunset (Inside, outside, USA)
Redondo Beach, L.A. (Inside, outside, USA)
All over La Jolla (Inside, outside, USA)
At Waiamea Bay (Inside, outside, USA)
Everybody's gone surfin'
Surfin' USA

Everybody's gone surfin'
Surfin' USA
Everybody's gone surfin'
Surfin' USA
Everybody's gone surfin'
Surfin' USA
Yeah, everybody's gone surfin'
Surfin' USA
Yeah, everybody's gone surfin'
Surfin' USA

"
6,(Sittin' On) the Dock of the Bay,The Dock of the Bay,Otis Redding,1968-02-23,166826,62,"

[Verse 1]
Sittin' in the mornin' sun
I'll be sittin' when the evenin' come
Watching the ships roll in
And then I watch 'em roll away again, yeah

[Chorus]
I'm sittin' on the dock of the bay
Watching the tide roll away
Ooo, I'm just sittin' on the dock of the bay
Wastin' time

[Verse 2]
I left my home in Georgia
Headed for the 'Frisco bay
'Cause I've had nothing to live for
And look like nothin's gonna come my way

[Chorus]
So I'm just gonna sit on the dock of the bay
Watching the tide roll away
Ooo, I'm sittin' on the dock of the bay
Wastin' time

[Bridge]
Look like nothing's gonna change
Everything still remains the same
I can't do what ten people tell me to do
So I guess I'll remain the same, yes

[Verse 3]
Sittin' here resting my bones
And this loneliness won't leave me alone
It's two thousand miles I roamed
Just to make this dock my home

[Chorus]
Now, I'm just gonna sit at the dock of the bay
Watching the tide roll away
Oooo-wee, sittin' on the dock of the bay
Wastin' time

[Outro]
*Whistling*

"
7,I Got You Babe,The Beat Goes On: Best Of,Sonny & Cher,1991-11-05,193840,59,"

[Verse 1: Sonny & Cher]
They say we're young and we don't know
We won't find out until we grow
Well I don't know if all that's true
Cause you got me, and baby I got you

[Chorus: Sonny & Both]
Babe
I got you babe, I got you babe

[Verse 2: Sonny & Cher]
They say our love won't pay the rent
Before it's earned, our money's all been spent
I guess that's so, we don't have a pot
But at least I'm sure of all the things we got

[Chorus: Sonny & Both]
Babe
I got you babe, I got you babe

[Verse 3: Sonny & Cher]
I got flowers in the spring, I got you to wear my ring
And when I'm sad, you're a clown
And if I get scared, you're always around
So let them say your hair's too long
Cause I don't care, with you I can't go wrong
Then put your little hand in mine
There ain't no hill or mountain we can't climb

[Chorus: Sonny & Both]
Babe
I got you babe, I got you babe

[Bridge: Sonny & Cher]
I got you to hold my hand
I got you to understand
I got you to walk with me
I got you to talk with me
I got you to kiss goodnight
I got you to hold me tight
I got you, I won't let go
I got you to love me so

[Chorus: Both]
I got you babe
I got you babe
I got you babe
I got you babe
I got you babe

"
8,Daydream Believer,"The Birds, The Bees, & The Monkees",The Monkees,1968-04-22,179613,68,"

[Intro]
Chip: 7A
Davy: What number is this, Chip?
Other 3 Monkees: 7-A!
Davy: OK!, know what I mean, like don't get excited man. It's 'cos I'm short, I know

[Verse 1]
Oh, I could hide 'neath the wings
Of the bluebird as she sings
The six o'clock alarm would never ring
But it rings and I rise
Wipe the sleep out of my eyes
My shavin' razor's cold and it stings.

[Chorus]
Cheer up, sleepy Jean
Oh, what can it mean
To a daydream believer
And a homecoming queen

[Verse 2]
You once thought of me
As a white knight on his steed
Now you know how happy I can be
Oh, and our good times starts and end
Without dollar one to spend
But how much, baby, do we really need

[Chorus]
Cheer up, sleepy Jean
Oh, what can it mean
To a daydream believer
And a homecoming queen

[Chorus]
Cheer up, sleepy Jean
Oh, what can it mean
To a daydream believer
And a homecoming queen

[Instrumental interlude]

[Chorus]
Cheer up, sleepy Jean
Oh, what can it mean
To a daydream believer
And a homecoming queen

[Chorus (Repeat and fade)]
Cheer up, sleepy Jean
Oh, what can it mean
To a daydream believer
And a homecoming queen

"
9,Suspicious Minds,Elvis 30 #1 Hits,Elvis Presley,2002-09-24,272360,55,"

[Verse 1]
We're caught in a trap
I can't walk out
Because I love you too much, baby

Why can't you see
What you're doing to me
When you don't believe a word I say?

[Chorus]
We can't go on together
With suspicious minds (with suspicious minds)
And we can't build our dreams
On suspicious minds

[Verse 2]
So, if an old friend I know
Stops by to say hello
Would I still see suspicion in your eyes?

Here we go again
Asking where I've been
You can't see the tears are real, I'm crying
(Yes, I'm crying)

[Chorus]
We can't go on together
With suspicious minds (with suspicious minds)
And we can't build our dreams
On suspicious minds

[Bridge]
Oh, let our love survive
I'll dry the tears from your eyes
Let's don't let a good thing die
When, honey, you know I've never lied to you

[Verse 1]
We're caught in a trap
I can't walk out
Because I love you too much, baby

Why can't you see
What you're doing to me
When you don't believe a word I say?

[Outro]
Well, don't you know I'm caught in a trap?
I can't walk out
Because I love you too much, baby
Well, don't you know I'm caught in a trap?
I can't walk out
Because I love you too much, baby
Well, don't you know I'm caught in a trap?
I can't walk out
Because I love you too much, baby
Well, don't you know I'm caught in a trap?
I can't walk out
Because I love you too much, baby
Well, don't you know I'm caught in a trap?
I can't walk out
Because I love you too much, baby...

"
