,name,album,artist,release date,length,popularity,lyrics
0,Can't Fight The Moonlight - Graham Stack Radio Edit,I Need You,LeAnn Rimes,2001-01-30,217133,50,"

[Intro]
Never know
Cannot know
Never know
Cannot know
Never know
Cannot know
Never know

[Verse 1]
Under a lovers' sky
Gonna be with you
And no one's gonna be around
If you think that you won't fall
Well, just wait until
Til the sun goes down

[Pre-Chorus]
Underneath the starlight, starlight
There's a magical feeling so right
It will steal your heart tonight

[Chorus]
You can try to resist
Try to hide from my kiss
But you know, but you know that you
Can't fight the moonlight
Deep in the dark, you'll surrender your heart
But you know, but you know that you
Can't fight the moonlight
No, you can't fight it
It's gonna get to your heart

[Verse 2]
There's no escaping love
Once a gentle breeze
Weaves it's spell upon your heart
No matter what you think
It won't be too long
'Til you're in my arms

[Pre-Chorus]
Underneath the starlight, starlight
We'll be lost in the rhythm so right
Feel it steal your heart tonight

[Chorus]
You can try to resist
Try to hide from my kiss
But you know, but you know
That you can't fight the moonlight
Deep in the dark, you'll surrender your heart
But you know, but you know that you
Can't fight the moonlight
No, you can't fight it
No matter what you do
The light is gonna get to you

[Bridge]
Never know
Cannot know
Never know
Cannot know
Never know
Cannot know

[Pre-Chorus]
Don't try, you're never gonna win, oh
Underneath the starlight, starlight
There's a magical feeling, so right
It'll steal your heart tonight

[Chorus]
You can try to resist, try to hide from my kiss
But you know, but you know that you
Can't fight the moonlight
Deep in the dark, you'll surrender your heart
But you know, but you know that you
Can't fight the moonlight
No
You can try to resist, try to hide from my kiss
But you know, but you know that you
Can't fight the moonlight
Deep in the dark, you'll surrender your heart (surrender your heart)
But you know, but you know that you
Can't fight the moonlight
No, you can't fight it

[Outro]
You can try to resist, try to hide from my kiss
But you know, but you know that you
Can't fight the moonlight
Deep in the dark, you'll surrender your heart
But you know, but you know that you
Can't fight the moonlight
No

"
1,Oops!...I Did It Again,Oops!... I Did It Again,Britney Spears,2000-05-16,211160,77,"

[Intro]
Mmm, yeah
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah

[Verse 1]
I think I did it again
I made you believe we're more than just friends
Oh, baby, it might seem like a crush
But it doesn't mean that I'm serious

[Pre-Chorus]
'Cause to lose all my senses
That is just so typically me
Ooh, baby, baby

[Chorus]
Oops, I did it again
I played with your heart
Got lost in the game
Oh, baby, baby
Oops, you think I'm in love
That I'm sent from above
I'm not that innocent

[Verse 2]
You see, my problem is this
I'm dreaming away
Wishing that heroes, they truly exist
I cry watching the days
Can't you see I'm a fool in so many ways?

[Pre-Chorus]
But to lose all my senses
That is just so typically me
Oh, baby, oh

[Chorus]
Oops, I did it again
I played with your heart
Got lost in the game
Oh, baby, baby
Oops, you think I'm in love
That I'm sent from above
I'm not that innocent

[Post-Chorus]
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah

[Interlude]
""All aboard!""
""Britney! Before you go, there's something I want you to have.""
""Oh, it's beautiful! But wait a minute, isn't this...?""
""Yeah, yes, it is.""
""But I thought the old lady dropped it into the ocean in the end.""
""Well, baby, I went down and got it for ya.""
""Aw, you shouldn't have!""

[Chorus]
Oops, I did it again to your heart
Got lost in this game, oh, baby
Oops, you (Oops, you) think that I'm sent from above
I'm not that innocent

[Chorus]
Oops, I did it again
I played with your heart
Got lost in the game (Yeah, yeah)
Oh, baby, baby
Oops, you think I'm in love
That I'm sent from above (Yeah)
I'm not that innocent

[Chorus]
Oops, I (Oops, I) did it again (Did it again to your heart)
I played with your heart (Got lost)
Got lost in the game (In this game, oh, baby)
Oh, baby, baby
Oops, you (Oops, you) think I'm in love (Think that I'm sent)
That I'm sent from above
I'm not that innocent

"
2,Bye Bye Bye,No Strings Attached,*NSYNC,2000-03-21,200560,66,"

[Intro: Justin & All]
Hey, hey
Bye bye bye
Bye bye!
Bye bye! (oh oh)

[Verse 1: JC with All]
I'm doing this tonight
You're probably gonna start a fight
I know this can't be right
Hey baby, come on
I loved you endlessly
And you weren't there for me
So now it's time to leave
And make it alone

[Pre-Chorus: Justin with JC & All]
I know that I can't take no more
It ain't no lie
I wanna see you out that door
Baby, bye bye bye (bye bye)

[Chorus: All, Justin & JC]
Don't wanna be a fool for you
Just another player in your game for two
You may hate me but it ain't no lie
Baby, bye bye bye (bye bye)
Don't really wanna make it tough
I just wanna tell you that I had enough
Might sound crazy but it ain't no lie
Baby, bye bye bye

[Verse 2: Justin with JC, with All]
Just hit me with the truth
Now! Girl, you're more than welcome to
So give me one good reason
Baby, come on
I live for you and me
And now I really come to see
That life would be much better
Once you're gone

[Pre-Chorus: JC with Justin & All]
I know that I can't take no more
It ain't no lie
I wanna see you out that door
Baby, bye bye bye (bye bye)

[Chorus: All, Justin & JC]
Don't wanna be a fool for you
Just another player in your game for two
You may hate me but it ain't no lie
Baby, bye bye bye (bye bye)
Don't really wanna make it tough
I just wanna tell you that I had enough
Might sound crazy but it ain't no lie
Baby, bye bye bye

[Middle 8: All]
I'm giving up, I know for sure
I don't wanna be the reason for your love no more
(Bye bye!) I'm checkin' out, I'm signin' off
I don't want to be the loser and I've had enough

[Bridge: Justin, All & JC]
I don't wanna be your fool
In this game for two
So I'm leaving you behind
(Bye bye bye, yeah)
I don't wanna make it tough
(Make it though)
But I've had enough
Bye bye, baby!
And it ain't no lie
Bye bye

[Chorus: Justin, Lance & Joey, JC & Chris, Justin, JC]
Don't wanna be a fool for you
(I don't wanna be a fool)
Just another player in your game for two
(In this game for two)
I don't wanna be a fool but it ain't no lie
Baby, bye bye bye (bye bye)
Don't really wanna make it tough (oh oh)
(I don't wanna make it tough)
I just wanna tell you that I had enough
(But I've had enough)
Might sound crazy but it ain't no lie
Baby, bye bye bye

"
3,She Bangs - English Version,Sound Loaded,Ricky Martin,2000,280626,58,"

Publishers: ©Sony/ATV Music Publishing LLC, Warner/Chappell Music, Inc., BMG RIGHTS MANAGEMENT US, LLC
Popularity : 1939 users have visited this page
Writer(s) Desmond Child Walter Afanasieff Robi Draco Rosa Glenn Monroig Julia Sierra Daniel López
Label: Columbia

Length: 4:42 (album version), 4:06 (radio edit)
Genre: Pop
Producer(s): Walter Afanasieff Robi Draco Rosa Desmond Child
Format: CD single maxi single
Released: October 10, 2000
Sponsored links
Talk to me
Tell me your name
You blow me off like it's all the same
You lit a fuse and now I'm ticking away
Like a bomb
Yeah, baby

Talk to me
Tell me your sign
You're switching sides like a Gemini
You're playing games and now you're hittin' my
Heart
Like a drum
Yeah, baby

Well if lady luck gets on my side
We're gonna rock this town alive
I'll let her rough me up
'Till she knocks me out
She walks like she talks
And she talks like she walks

And she bangs, she bangs
Oh baby
When she moves, she moves
I go crazy
'Cause she looks like a flower but she stings
Like a bee
Like every girl in history
She bangs, she bangs

I'm wasted by the way she moves
No one ever looked so fine
She reminds me that a woman only got one thing on her mind

Talk to me
Tell me your name
I'm just a link in your daisy chain
Your rap sounds like a diamond
Map to the stars
Yeah, Baby

Talk to me
Tell me the news
You wear me out like a pair of shoes
We'll dance until the band goes home
Then you're gone
Yeah, Baby

Well if it looks like love should be a crime
You'd better lock me up for life
I'll do the time with a smile on my face
Thinking of her in her leather and lace

Well if Lady Luck gets on my side
We're gonna rock this town alive
I'll let her rough me up
'Till she knocks me out
She walks like she talks
And she talks like she walks

"
4,Walk on Water - H2O Radio Mix,Land Of The Living,Milk Inc.,2000,192680,53,"

There was a time
When nothing would last
There was a time
I held on to the past

I would walk on water just to be with you
Walk on water just to be with you
Split the ocean
Cross the sea
Walk on water if you believe

There was a time i lost my faith
There was a time i could only hate
You are my shepheard
You are my guide
I followd your dark eyes right into the night
You are my savior
You took contoll
You came and touched my soul

I would walk on water just to be with you
Walk on water just to be with you
Split the ocean
Corss the sea
Walk on water if you beleive

There was a time
When nothing would last
There was a time
I held on to the past
You are my shepheard
You are my guide
I followd your dark eyes right into the night
You are my savior
You took contoll
You came and touched my soul

But why are you still over-shadowd by a doubt?
If only you could see
The love that carries me

I would walk on water just to be with you
Walk on water just to be with you
Split the ocean
Corss the sea
Walk on water if you believe

I would walk on water just to be with you
Walk on water just to be with you
Split the ocean
Corss the sea
Walk on water if you believe

"
5,Shackles (Praise You),Go Get It,Mary Mary,2000,198346,63,"

[Spoken Intro: Warryn Campbell]
Whew, it sure is hot out here, you know
I don't mind, though
I'm just glad to be free, you know what I'm saying?
Uh...

[Chorus: Mary Mary + (Warryn Campbell)]
Take the shackles off my feet so I can dance
I just wanna praise You
(What you wanna do?)
I just wanna praise You
(Yeah, yeah)
You broke the chains now I can lift my hands
(Feel me?)
And I'm gonna praise You
(What you gonna do?)
I'm gonna praise You

[Verse 1: Erica Campbell]
In the corners of my mind
I just can't seem to find
A reason to believe
That I can break free
Cause you see I have been bound for so long
Felt like all hope was gone
But as I lift my hands
I understand
That I should praise You through my circumstance

[Chorus: Mary Mary]
Take the shackles off my feet so I can dance
(So I can dance)
I just wanna praise You
(Just wanna praise You)
I just wanna praise You
(Just wanna praise You)
You broke the chains now I can lift my hands
(I can lift my hands)
And I'm gonna praise You
I'm gonna praise You

[Verse 2: Tina Campbell]
Everything that could go wrong
All went wrong at one time
So much pressure fell on me
I thought I was gon' lose my mind
Lord, I know You wanna see
If I will hold on through these trials
But I need You to lift this load
'Cause I can't take it no more

[Chorus: Mary Mary]
Take the shackles off my feet so I can dance
(So I can dance)
I just wanna praise You
I just wanna praise You
(yeah)
You broke the chains now I can lift my hands
(Oh yeah)
And I'm gonna praise You
(I'm gonna...)
I'm gonna praise You
(I'm gonna praise You)

[Bridge: Mary Mary]
Been through the fire and the rain
Bound in every kind of way
But God has broken every chain
So let me go right now

[Chorus: Mary Mary]
Take the shackles off my feet so I can dance
(So I can dance y'all)
I just wanna praise You
I just wanna praise You
(I wanna praise You)
I wanna praise You
You broke the chains now I can lift my hands
(I can lift my hands)
And I'm gonna praise You
(Praise You, praise You)
I'm gonna praise You
(Praise You, yeah)

Take the shackles off my feet so I can dance
I just wanna praise You
I just wanna praise You
(Yeah, yeah)
You broke the chains now I can lift my hands
(I can lift my hands)
And I'm gonna praise You
(Praise You)
I'm gonna praise You
(Come on, dance with me)

Take the shackles off my feet so I can dance
I just wanna praise You
I just wanna praise You
You broke the chains now I can lift my hands
And I'm gonna praise You
I'm gonna praise You

Yeah, yeah, yeah

[Outro: Warryn Campbell + Mary Mary]
Take 'em off, take 'em off
What You gonna do?
Yeah, yeah
You broke the chains now I can lift my hands
Broke all the chains
I'm gonna praise You
What You gonna do?
I'm gonna praise You

"
6,Around The World,Aquarius (Special Edition),Aqua,2000-01-01,209760,53,"

[Intro]
I've been around the world - hey, hey
I've been around the world - hey, hey
In the kitchen where I'm cooking what is good for me
Spices from the globe
Little by little it's the finest meal
It's appetite for hope - come and see

[Verse 1]
You mix it all together in your dreams
Ingredients from the Seven Seas and
I'm realizing things ain't what they seem
That's the riddle of it
That's the spirit of it
That's the power of life

[Chorus]
I've been around the world (Round the world)
And I've seen it all (Seen it all)
I've been around the world (Round the world)
The sun will always rise and fall
I've been around the world (Round the world)
And I want you to see (Seen it all)
I've been the only girl (Round the world)
All surrounded by mystery

[Verse 2]
In the living room I'm cleaning up from top to floor
The place I love the most
The wall is covered up with all my souvenirs
I've got from coast to coast - come and see
You mix it all together in your dreams
Ingredients from the Seven Seas and
I'm realizing things ain't what they seem
That's the riddle of it
That's the spirit of it
That's the power of life

[Chorus]
I've been around the world (Round the world)
And I've seen it all (Seen it all)
I've been around the world (Round the world)
The sun will always rise and fall
I've been around the world (Round the world)
And I want you to see (Seen it all)
I've been only girl (Round the world)
All surrounded by mystery

[Bridge]
I'm still coming around
I keep chasing dreams
Girl, I keep coming around - hey, hey
I keep coming around
And I can never stop
Girl, I keep coming around
Cause if I do I'll walk
Around around - hmm, around the world

[Chorus]
I've been around the world (Round the world)
Hey, hey (Seen it all)
I've been around the world (Round the world)
All surrounded by mystery
I've been around the world (Round the world)
And I've seen it all (Seen it all)
I've been around the world (Round the world)
The sun will always rise and fall
Round the world

"
7,Shalala Lala,Shalala Lala,Vengaboys,2000,214819,58,"

Make some noise for the Vengaboys!

[Verse 1]
There's a boy in my mind and he knows I'm thinkin' of him
All my way to the day and the night the stars shine above me
He's been gone for some time but I know I truly love him
And I'm singing a song, hoping he'll be back when he hears it

[Chorus]
My heart goes shalala lala, shalala in the morning
Shalala lala, shalala in the sunshine
Shalala lala, shalala in the evening
Shalala lala shalala lala just for you

Make some noise for the Vengaboys!

[Verse 2]
If your love's gone away just like mine you feel like crying
Sing along maybe once maybe twice, let's try it together
Some sweet day no one knows he'll return and you'll be happy
Shout it sweet in a song, listen to your heart it is singin'

[Chorus]
My heart goes shalala lala, shalala in the morning
Shalala lala, shalala in the sunshine
Shalala lala, shalala in the evening
Shalala lala shalala lala just for you
My heart goes shalala lala, shalala in the morning
Shalala lala, shalala in the sunshine
Shalala lala, shalala in the evening
Shalala lala shalala lala just for you
Shalala lala just for you

"
8,Rock DJ,Sing When You're Winning,Robbie Williams,2000-01-01,258560,68,"

[Verse 1]
Me with the floor show kicking with your torso
Boys getting high and the girls even more so
Wave your hands if you're not with the man
Can I kick it? (Yes you can)
I got (funk), you got (soul)
We got everybody
I've got the gift gonna stick it in the goal
It's time to move your body

[Pre-Chorus]
Babylon back in business
Can I get a witness?
Every girl, every man
Houston, do you hear me?
Ground control, can you feel me?
Need permission to land

[Chorus]
I don't wanna rock DJ
But you're making me feel so nice
When's it gonna stop DJ
Cause you're keeping me up all night

[Verse 2]
Singing in the classes, music for your masses
Give no head no backstage passes
Have a proper giggle I'll be quite polite
But when I rock the mic, I rock the mic (Right)
You got no love then you're with the wrong man
It's time to move your body
If you can't get a girl but your best friend can
It's time to move your body

[Pre-Chorus]
I don't wanna be sleazy
Baby just tease me
Got no family planned
Houston, do you hear me?
Ground control, can you feel me?
Need permission to land

[Chorus]
I don't wanna rock DJ
But you're making me feel so nice
When's it gonna stop DJ
Cause you're keeping me up all night

I don't wanna rock DJ
But you're making me feel so nice
When's it gonna stop DJ
Cause you're keeping me up all night

[Bridge]
Pimping ain't easy
Most of them fleece me
Every night
Pimping ain't easy
But if you're selling it
It's alright

Come on

[Chorus]
I don't wanna rock DJ
But you're making me feel so nice
When's it gonna stop DJ
Cause you're keeping me up all night

I don't wanna rock DJ
But you're making me feel so nice
When's it gonna stop DJ
Cause you're keeping me up all night

"
9,What a Girl Wants,Christina Aguilera (Expanded Edition),Christina Aguilera,1999,215800,62,"

[Intro]
What a girl wants, what a girl needs
Whatever makes me happy sets you free
What a girl wants, what a girl needs
Whatever keeps me, keeps me in your arms (Yeah, come on)
Ooh-ooh, oh, hey, yeah yeah

[Verse 1]
I wanna thank you for giving me time to breathe
Like a rock, you waited so patiently
While I got it together, hmm
While I figured it out
I only looked but I never touched
'Cause in my heart it was a picture of us
Holding hands, making plans
And it's lucky for me you understand

[Chorus]
What a girl wants, what a girl needs
Whatever makes me happy sets you free
And I'm thanking you for knowing exactly
What a girl wants, what a girl needs
Whatever keeps me in your arms
And I'm thanking you for being there for me
Ooh-ooh, oh-oh, yeah yeah

[Verse 2]
A weaker man might have walked away
But you had faith
Strong enough to move over and give me space
While I got it together, yeah
And while I figured it out
They say if you love something, let it go
If it comes back it's yours, and that's how you know
It's for keeps, yeah, it's for sure
And you're ready and willing to give me more than...

[Chorus]
What a girl wants, what a girl needs
Whatever makes me happy sets you free
And I'm thanking you for giving it to me
What a girl wants, what a girl needs (What a girl wants, what a girl needs)
Whatever keeps me in your arms
And I'm thanking you for being there for me

[Post-Chorus]
Oh baby (Baby), oh darling
Thank you, thank you, oh yeah

[Bridge]
A girl needs somebody sensitive but tough
Somebody there when the goin' gets rough
Every night he'll be giving his love (He'll be giving his love)
To just one girl, one girl (To one girl, oh)
Somebody cool but tender too (Somebody real cool but tender too)
Somebody, baby, just like you
Can keep me hanging around
With the one who always knew...

[Break]
(What a girl wants, what a girl needs)
(You knew, you knew, you knew)
(Whatever makes me happy sets you free)
Ooh oh, I'm thanking you for being there for me
(What a girl wants, what a girl needs)
(Whatever keeps me in your arms)
Whatever keeps me in your arms is what I need
Oh woah...

[Chorus]
(What a girl wants, what a girl needs)
Oh-oh woah, yeah (Whatever makes me happy sets you free)
Always what I'm thinking (And I'm thanking you)
Always what I want, what I need (For giving it to me)
What a girl wants you got, yeah yeah (What a girl wants, what a girl needs)
(Whatever keeps me in your arms)
Oh baby, I thank you 'cause you know, oh-ooh, woah
(And I'm thanking you for being there for me)

[Post-Chorus]
What you got is what I need (What a girl wants, what a girl needs)
And you want... ha ha ha (Whatever makes me happy sets you free)
What I want, ooh oh yeah (And I'm thanking you for knowing exactly)

[Outro]
Oh baby, oh darling
Thank you, thank you for giving me what I need
And what I want
Oh oh oh oh oh oh, oh yeah
I turn around there
Whenever you're not there
Oh yeah yeah yeah (A girl wants)
A girl wants

"
